college,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Houston,27.0,200.1157142857143,99.27184914285714,49.642857142857146,7.299999999999999,3.3714285714285714,1.6071428571428572,-7.328571428571428,0.05028571428571428,0.1454285714285714,0.1767857142857143,0.5435714285714285,0.12342857142857143
Idaho,25.0,203.2,97.52228,3.0,2.3,0.7,0.0,-23.2,0.1669999999999999,0.0,0.151,0.902,0.0
Illinois,26.285714285714285,199.20857142857145,98.72105885714286,44.214285714285715,6.5928571428571425,2.5357142857142856,1.792857142857143,-11.042857142857143,0.06949999999999999,0.12714285714285714,0.1942142857142857,0.4494285714285714,0.1669285714285714
Illinois State,26.0,198.12,90.7184,7.0,1.0,0.6,0.9,4.2,0.043,0.15,0.228,0.322,0.375
Indian Hills CC,23.0,213.36,110.676448,3.0,1.0,2.0,0.0,-62.2,0.05,0.294,0.2289999999999999,0.193,0.0
Indiana,22.428571428571427,200.5390476190476,101.32381295238095,38.42857142857143,6.152380952380952,2.619047619047619,1.0857142857142859,-2.4285714285714284,0.055761904761904756,0.13776190476190475,0.18104761904761904,0.5084761904761905,0.10266666666666666
Indiana Purdue-Indianapolis,23.0,187.96,81.64656,77.0,5.7,2.1,1.8,2.2,0.0279999999999999,0.12,0.195,0.502,0.183
Iona,23.0,185.42,92.98636,6.0,1.3,0.2,1.0,-21.5,0.0,0.0559999999999999,0.3,0.581,0.6
Iowa,25.53846153846154,201.44153846153844,99.99959015384616,35.92307692307692,3.3230769230769233,1.9692307692307693,0.8538461538461538,-12.823076923076922,0.052461538461538455,0.14784615384615385,0.14646153846153845,0.41607692307692307,0.14176923076923076
Iowa State,24.615384615384617,197.82692307692307,98.883056,30.03846153846154,3.996153846153846,1.723076923076923,1.226923076923077,2.6076923076923078,0.03515384615384614,0.11619230769230768,0.19042307692307692,0.4471538461538461,0.16092307692307692
Jackson State,25.0,191.77,93.666748,43.0,7.6,1.5499999999999998,0.95,-14.25,0.0125,0.091,0.227,0.40549999999999997,0.044
Jacksonville,28.0,187.96,87.089664,21.0,7.6,2.3,3.2,-7.5,0.015,0.095,0.163,0.455,0.2019999999999999
Jacksonville State,29.0,182.88,77.11064,28.0,3.0,0.9,2.1,-10.5,0.022,0.064,0.175,0.401,0.271
Kansas,23.425531914893618,200.33574468085106,99.89639982978723,44.361702127659576,6.034042553191489,2.778723404255319,1.0808510638297872,-4.838297872340425,0.055148936170212756,0.13304255319148933,0.188468085106383,0.49014893617021277,0.1052127659574468
Kansas State,25.11111111111111,196.7088888888889,96.161504,44.666666666666664,6.611111111111111,2.0555555555555554,0.9888888888888889,-0.4444444444444444,0.03233333333333334,0.10877777777777775,0.18788888888888888,0.5655555555555556,0.08688888888888889
Kent State,23.0,213.36,124.7378,25.0,1.2,0.8,0.1,-26.6,0.075,0.1,0.165,0.401,0.0409999999999999
Kentucky,21.681818181818183,200.23666666666668,99.34352060606061,47.77272727272727,6.806060606060606,3.066666666666667,1.4257575757575758,-4.095454545454546,0.05693939393939393,0.13768181818181818,0.18190909090909088,0.4896969696969697,0.11428787878787877
La Salle,27.25,196.215,91.28539,47.25,4.35,1.9,1.225,-5.825,0.02925,0.12725,0.175,0.456,0.15199999999999997
Lamar,30.0,203.2,120.20188,45.0,2.2,3.7,0.3,-6.2,0.108,0.208,0.105,0.4429999999999999,0.03
Le Moyne,21.0,205.74,124.7378,58.0,2.7,2.6,0.2,-14.9,0.127,0.138,0.135,0.479,0.025
Lebanon Valley,23.0,205.74,111.13004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehigh,22.0,193.04,90.7184,38.0,5.3,1.3,0.7,-4.0,0.016,0.094,0.205,0.521,0.089
Liberty,26.0,208.28,117.93392,2.0,1.0,1.0,0.0,-65.1,0.125,0.125,0.218,0.5,0.0
Long Beach State,25.166666666666668,195.15666666666667,93.59114933333335,45.5,5.25,1.8666666666666665,0.8500000000000001,-4.216666666666668,0.03766666666666663,0.10633333333333334,0.18933333333333335,0.5088333333333334,0.08183333333333333
Long Island-Brooklyn,23.0,190.5,81.64656,29.0,3.7,1.4,1.4,-12.2,0.022,0.087,0.163,0.407,0.156
Longwood,35.0,200.66,108.86208,70.0,6.8,5.2,1.3,4.1,0.072,0.1639999999999999,0.145,0.475,0.077
Louisiana State,22.869565217391305,202.31652173913042,102.5512347826087,39.65217391304348,6.756521739130435,3.0173913043478264,1.2217391304347824,-1.1782608695652175,0.0656086956521739,0.13791304347826086,0.20504347826086952,0.5012173913043478,0.10717391304347826
